report_name,company,link
acuity brands inc_2022_report.pdf,acuity brands inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_AYI_2022.pdf
addtech_2022_report.pdf,addtech,https://www.addtech.com/fileadmin/user_upload/Arsredovisningar/Addtech-Annual-Report-2021-2022.pdf
aixtron_2020_report.pdf,aixtron,https://www.aixtron.com/investoren/publikationen/2020/en/Sustainability%20Report%202020.pdf
Allianz_2022_report.pdf,Allianz,https://www.allianz.com/content/dam/onemarketing/azcom/Allianz_com/sustainability/documents/Allianz_Group_Sustainability_Report_2022-web.pdf
alumina ltd_2022_report.pdf,alumina ltd,https://www.annualreports.com/HostedData/AnnualReportArchive/A/ASX_AWC_2022.pdf
amano corp_2022_report.pdf,amano corp,https://www.amano-enzyme.com/assets/pdf/sustainability-report/report_en.pdf
americold realty inc_2022_report.pdf,americold realty inc,https://483539.fs1.hubspotusercontent-na1.net/hubfs/483539/Website_Files/Americold%202022%20ESG%20Report%20FINAL.pdf
apollo hospitals_2022_report.pdf,apollo hospitals,https://www.apollohospitals.com/apollo_pdf/AHEL-AR22-Full-Report-Final-(20220802).pdf
arbonia ag_2018_report.pdf,arbonia ag,https://report.arbonia.com/2018/en/download-center-2/
atlas arteria_2019_report.pdf,atlas arteria,https://www.atlasarteria.com/stores/_sharedfiles/Sustainability/AtlasArteriaSustainabilityReport2019_web.pdf
aurelius_2018_report.pdf,aurelius,https://www.aeo-se.de/site/assets/files/4147/annual_report_for_2018_guarantor.pdf
autoneum holding_2019_report.pdf,autoneum holding,https://www.autoneum.com/wp-content/uploads/2020/06/Autoneum_CR_Report_2019-1.pdf
banco bpm_2019_report.pdf,banco bpm,https://gruppo.bancobpm.it/media/dlm_uploads/Consolidated-2019-Annual-Report-tipografia-per-sito.pdf
beach energy ltd_2020_report.pdf,beach energy ltd,https://beachenergy.com.au/wp-content/uploads/2020/10/BeachSustainabilityReport2020.pdf
bekaert (d) sa_2022_report.pdf,bekaert (d) sa,https://www.annualreports.com/HostedData/AnnualReportArchive/b/bekaert-SA_2022.pdf
bioarctic_2018_report.pdf,bioarctic,https://www.bioarctic.com/en/wp-content/uploads/sites/2/2022/08/bioarctic-ab-annual-report-2018-c.pdf
blackline safety_2021_report.pdf,blackline safety,https://www.blacklinesafety.com/hubfs/Website/ESG/Blackline%20Safety_%202021%20ESG%20Report.pdf?hsLang=en
bloom energy_2019_report.pdf,bloom energy,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001664703/c72fe14d-0fd8-4279-bb4a-ba633c4d2df9.pdf
boot barn holdings_2019_report.pdf,boot barn holdings,https://www.annualreports.com/HostedData/AnnualReportArchive/b/NYSE_BOOT_2019.pdf
ca immobilien anlagen ag_2018_report.pdf,ca immobilien anlagen ag,https://www.caimmo.com/fileadmin/documents/Finanzberichte/2018/Annual_Report_2018.pdf
cabot corp_2018_report.pdf,cabot corp,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/c/NYSE_CBT_2018.pdf
cardinal energy ltd_2021_report.pdf,cardinal energy ltd,https://cardinalenergy.ca/wp-content/uploads/2022/03/22-03-14-2021-Cardinal-ESG-Report-5Q-FINAL-2-1.pdf
comerica inc_2019_report.pdf,comerica inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/c/NYSE_CMA_2019.pdf
coty inc_2018_report.pdf,coty inc,https://s23.q4cdn.com/980953510/files/doc_financials/annual/Coty-2018-Annual-Report.pdf
ctbc holding_2020_report.pdf,ctbc holding,https://www.ctbcholding.com/content/dam/twhoo/file/csr/en/report/2020CSR.pdf
customer bank_2020_report.pdf,customer bank,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/c/NYSE_CUBI_2020.pdf
cytokinetics inc_2022_report.pdf,cytokinetics inc,https://cytokinetics.com/wp-content/uploads/2023/03/corporate-responsibility-report-2022.pdf
Daimler_2020_report.pdf,Daimler,https://group.mercedes-benz.com/documents/sustainability/reports/daimler-sustainability-report-2020.pdf
dalata hotel group_2019_report.pdf,dalata hotel group,https://dalatahotelgroup.com/wp-content/uploads/2023/09/2019-Annual-Report-and-Accounts.pdf
deutz ag_2020_report.pdf,deutz ag,https://www.annualreports.com/HostedData/AnnualReportArchive/d/deutz_2020.pdf
dic corp_2017_report.pdf,dic corp,https://www3.dic-global.com/dic-global/dic_report/dic_report_en_2017_detail.pdf?_gl=1*b61ah1*_ga*MTc5NzQ2NDk1Mi4xNzI2MDQwNjc2*_ga_CRN43SMNFF*MTcyNjA0MDY3Ni4xLjEuMTcyNjA0MDcyNC4xMi4wLjA.*_ga_2Y835HH0EE*MTcyNjA0MDY3Ni4xLjEuMTcyNjA0MDcyNC4xMi4wLjA.*_ga_9ELQPC0MQQ*MTcyNjA0MDY3OC4xLjEuMTcyNjA0MDcyNC4xNC4wLjA.&_ga=2.226285082.1630688170.1726040676-1797464952.1726040676
everi holdings_2019_report.pdf,everi holdings,https://www.everi.com/wp-content/uploads/2021/03/2019-Annual-Report.pdf
evolution mining ltd_2020_report.pdf,evolution mining ltd,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/E/ASX_CAH_2020.pdf
fbn holdings_2017_report.pdf,fbn holdings,https://www.fbnholdings.com/wp-content/uploads/2021/02/fbn-sustainability-report-2017.pdf
fbn holdings_2018_report.pdf,fbn holdings,https://www.fbnholdings.com/wp-content/uploads/2021/02/fbn-sustainability-report-2018.pdf
Fresenius SE_2019_report.pdf,Fresenius SE,https://www.fresenius.com/sites/default/files/2022-01/Fresenius_Annual_Report_2019.pdf
fujifilm_2022_report.pdf,fujifilm,https://www.fujifilm.com/files-holdings/en/sustainability/report/2022/sustainabilityreport2022_en.pdf
georg fischer ag_2018_report.pdf,georg fischer ag,https://www.georgfischer.com/content/dam/commonassets/corp/documents/reports/sustainabilty-reports/2018-sustainability-report/2018-GF-Sustainability-Report_2018.pdf
gopro inc_2017_report.pdf,gopro inc,https://www.annualreports.com/HostedData/AnnualReportArchive/g/NASDAQ_GPRO_2017.pdf
graincorp_2019_report.pdf,graincorp,https://www.graincorp.com.au/wp-content/uploads/2021/01/SustainabilityReport2019_Web.pdf
granite construction inc_2020_report.pdf,granite construction inc,https://www.graniteconstruction.com/sites/default/files/inline-files/Granite-2020-Sustainability-Report.pdf
h. lundbeck_2021_report.pdf,h. lundbeck,https://www.lundbeck.com/content/dam/lundbeck-com/masters/global-site/pdf/Sustainability_Report_2021.pdf.coredownload.pdf
hang lung properties_2018_report.pdf,hang lung properties,https://www.hanglung.com/getmedia/7c8143b3-7cc7-4821-b0ff-b8e9d6fc4f5f/hlp-sustainability-report-2018-en.pdf
hays plc_2019_report.pdf,hays plc,https://www.haysplc.com/~/media/Files/H/Hays/annual-reports/ar-2019/annual-report-2019.pdf
healius ltd_2022_report.pdf,healius ltd,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/h/ASX_HLS_2022.pdf
hudbay minerals inc_2020_report.pdf,hudbay minerals inc,https://s23.q4cdn.com/405985100/files/doc_downloads/sustainability/2021/english/Hudbay-2020-Integrated-Report.pdf
hugo boss_2020_report.pdf,hugo boss,https://www.annualreports.com/HostedData/AnnualReportArchive/h/hugo-boss_2020.pdf
huhtamaki_2018_report.pdf,huhtamaki,http://hugin.info/3006/R/2242412/884978.pdf
huhtamaki_2019_report.pdf,huhtamaki,https://www.huhtamaki.com/globalassets/global/sustainability/reports/en/2019/huhtamaki-sustainability-report-2019.pdf
ichor holdings_2021_report.pdf,ichor holdings,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/i/NASDAQ_ICHR_2021.pdf
